station_name,station_id,wrcc_id,latitude,longitude,elevation,summary_date,observation_type,temperature_min,temperature_max,relative_humidity_min,relative_humidity_max,wind_speed_min,wind_speed_max,peak_gust_speed_min,peak_gust_speed_max,peak_wind_gust_time,solar_radiation_max,daily_precipitation_total,snow_flag
FTHL YDMA,55522271,AFTH,32.48658,-114.4635,331,8/22/2026,F,90,111,23,55,3,17,6,24,,929,0.0,N
GILA CENTER RAWS,292011,XGIL,33.22375,-108.24031,5767,8/22/2026,F,56,93,17,81,1,7,1,9,,987,0.01,N
GLOBE,20601,AGLO,33.32694,-110.76694,4137,8/22/2026,F,79,99,18,36,2,10,7,17,,940,0.0,N
GOLDFIELD,21505,AGOL,33.55531,-111.6145,1367,8/22/2026,F,86,110,14,36,2,15,6,24,,743,0.0,N
GOODWIN MESA,20507,AGOO,34.77614,-113.3375,4311,8/22/2026,F,75,100,16,34,3,11,5,16,,899,0.0,N
GRANTS,291302,XGRA,35.24278,-107.66528,8620,8/22/2026,F,54,82,24,71,2,9,3,13,,865,0.0,N
GREENBASE,20284,AGRB,35.27619,-112.06325,6923,8/22/2026,F,57,85,22,59,1,8,5,17,,686,0.0,N
GREER,20404,AGRE,34.05853,-109.44097,8240,8/22/2026,F,56,79,29,61,2,6,5,11,,656,0.05,N
GUNSIGHT,20223,AGUN,36.70464,-112.5835,5284,8/22/2026,F,69,96,14,38,2,9,5,22,,910,0.0,N
GUTHRIE,21104,AGUT,32.88203,-109.30931,6324,8/22/2026,F,71,92,15,41,5,16,11,24,,978,0.0,N
HACHITA VALLEY,292702,XHAC,31.702,-108.34169,4290,8/22/2026,F,71,101,12,35,2,9,5,14,,996,0.0,N
HAPPY JACK,20291,AHJK,34.61797,-111.34239,6812,8/22/2026,F,58,86,25,64,0,6,3,17,,693,0.02,N
HAVASU,20118,AHAV,34.80758,-114.53456,475,8/22/2026,F,86,116,11,37,1,9,3,21,,892,0.0,N
HEADQUARTERS,21409,ACHR,32.00611,-109.35694,5400,8/22/2026,F,69,96,16,43,2,6,7,13,,996,0.0,N
HEBER,20301,AHBR,34.39778,-110.56444,6635,8/22/2026,F,61,87,23,60,1,6,5,15,,716,0.03,N
HILLTOP,20609,AHIL,33.61119,-110.41461,5732,8/22/2026,F,63,92,21,63,2,11,7,18,,955,0.0,N
HOPI,20312,AHPI,35.86292,-110.61495,5579,8/22/2026,F,64,96,15,56,3,11,8,24,,839,0.0,N
HOPKINS,21302,AHPK,31.67528,-110.88,7120,8/22/2026,F,68,86,28,57,5,9,9,14,,930,0.11,N
HORSE CAMP CANYON,20903,AHOR,32.93656,-110.4935,4014,8/22/2026,F,76,100,16,38,3,9,9,21,,965,0.01,N
HUMBUG CREEK,20508,AHUM,34.11,-112.3,5250,8/22/2026,F,77,94,20,33,5,11,9,23,,858,0.04,N
HURRICANE,20117,AHUR,36.69908,-113.20731,5445,8/22/2026,F,68,95,14,37,7,13,13,25,,930,0.0,N
IRON SPRINGS,20501,AIRO,34.59361,-112.51139,5385,8/22/2026,F,67,92,20,48,1,6,5,16,,764,0.04,N
JARITA MESA,290204,XJAR,36.55597,-106.10306,8864,8/22/2026,F,55,82,22,66,2,13,3,17,,675,0.03,N
JEMEZ,290702,XJEM,35.84114,-106.61969,8248,8/22/2026,F,56,85,21,66,5,11,7,16,,808,0.01,N
LAGUNA,293304,XLAG,35.05197,-107.42028,5805,8/22/2026,F,65,93,17,56,2,11,3,16,,898,0.0,N
LAKESIDE,20303,ALAK,34.16283,-109.87639,7267,8/22/2026,F,58,85,26,65,2,6,7,11,,710,0.03,N
LIMESTONE CANYON,20309,ALIM,34.17786,-110.27663,7102,8/22/2026,F,65,89,23,49,1,6,3,13,,906,0.02,N
