station_name,station_id,wrcc_id,latitude,longitude,elevation,observation_time,observation_time_lst,display_hour,display_hour_lst,nfdr_date,nfdr_time,nfdr_type,fuel_model,fuel_model_version,kbdi,one_hr_tl_fuel_moisture,ten_hr_tl_fuel_moisture,hun_hr_tl_fuel_moisture,thou_hr_tl_fuel_moisture,ignition_component,spread_component,energy_release_component,burning_index,herbaceous_lfi_fuel_moisture,woody_lfi_fuel_moisture,gsi,quality_code
FORT YUMA,20102,AFYM,32.65222,-114.63417,185,2026-08-23T01:16:14.000Z,2026-08-22T18:16:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,744,2.85,4.05,8.36,9.93,74.98,81.29,10.15,66.09,30.0,60.0,0.0,0
MOUNT LOGAN,20107,AMTL,36.35306,-113.19917,7605,2026-08-23T00:33:25.000Z,2026-08-22T17:33:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,152,5.13,7.09,9.84,11.72,31.79,38.0,4.71,32.71,91.36,99.05,0.5,0
OLAF KNOLLS,20108,AOLA,36.50725,-113.81589,2974,2026-08-23T00:33:35.000Z,2026-08-22T17:33:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,629,2.94,4.11,6.44,8.1,77.56,94.29,10.02,70.34,30.0,60.0,0.02,0
TWEEDS POINT,20109,ATWE,36.58186,-113.732,5334,2026-08-23T00:33:55.000Z,2026-08-22T17:33:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,553,3.96,5.13,7.58,9.3,67.87,155.56,8.58,82.47,30.0,60.0,0.04,0
NIXON FLATS,20113,ANIX,36.38833,-113.15806,6500,2026-08-23T00:50:15.000Z,2026-08-22T17:50:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,302,4.34,8.33,13.77,14.02,36.82,37.28,8.1,41.62,30.0,60.0,0.26,0
BLACK ROCK,20114,ABRK,36.79436,-113.75056,7224,2026-08-23T00:50:05.000Z,2026-08-22T17:50:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,192,5.68,6.34,9.15,11.65,25.54,29.79,5.31,30.91,57.26,77.34,0.39,0
MOSS BASIN,20115,AMOS,35.03397,-113.89406,5920,2026-08-23T01:23:05.000Z,2026-08-22T18:23:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,394,4.66,6.27,11.84,13.45,38.07,45.39,7.7,44.53,30.0,60.0,0.27,0
UNION PASS,20116,AUNI,35.23233,-114.38194,3590,2026-08-23T00:52:35.000Z,2026-08-22T17:52:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,580,3.37,4.3,7.24,8.68,69.72,89.03,9.39,66.49,30.0,60.0,0.03,0
HURRICANE,20117,AHUR,36.69908,-113.20731,5445,2026-08-23T00:34:05.000Z,2026-08-22T17:34:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,407,4.36,7.01,9.75,11.04,59.28,92.5,8.07,63.12,30.0,60.0,0.18,0
HAVASU,20118,AHAV,34.80758,-114.53456,475,2026-08-23T00:52:45.000Z,2026-08-22T17:52:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,653,2.29,4.41,8.19,9.37,79.3,74.11,11.02,65.79,30.0,60.0,0.0,0
MUSIC MOUNTAIN,20119,AMUS,35.61497,-113.79428,5375,2026-08-23T00:52:55.000Z,2026-08-22T17:52:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,547,3.6,5.47,8.89,10.79,54.37,61.74,9.08,55.33,30.0,60.0,0.12,0
TRUXTON CANYON,20120,ATRU,35.78013,-113.79563,5304,2026-08-23T01:14:05.000Z,2026-08-22T18:14:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,267,4.14,5.28,8.44,10.43,38.47,38.0,8.35,42.58,30.0,60.0,0.18,0
CIBOLA,20121,ACBL,33.28,-114.68489,252,2026-08-23T00:48:54.000Z,2026-08-22T17:48:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,748,2.59,4.37,8.26,9.18,66.52,57.94,10.56,57.59,30.0,60.0,0.0,0
TUSAYAN,20207,ATUS,35.98833,-112.12056,6570,2026-08-23T01:08:24.000Z,2026-08-22T18:08:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,348,5.6,8.95,14.7,15.58,12.7,7.2,6.6,17.79,30.0,60.0,0.22,0
FLAGSTAFF,20209,AFLG,35.14111,-111.6725,6903,2026-08-23T01:06:04.000Z,2026-08-22T18:06:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,283,5.92,8.03,13.24,14.88,21.86,23.42,5.25,27.52,53.37,74.87,0.37,0
BRIGHT ANGEL,20211,ACAN,36.20472,-112.06222,8134,2026-08-23T01:07:54.000Z,2026-08-22T18:07:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,265,4.99,7.53,11.02,12.79,20.44,15.29,5.37,22.87,72.39,86.98,0.43,0
DRY PARK,20212,ADRY,36.45308,-112.23819,8700,2026-08-23T00:38:24.000Z,2026-08-22T17:38:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,93,6.28,8.7,12.45,14.54,7.65,3.35,1.93,7.1,148.49,135.4,0.68,0
FRAZIER WELLS,20213,AFRA,35.84551,-113.05501,6796,2026-08-23T01:27:44.000Z,2026-08-22T18:27:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,92,5.1,6.34,10.16,11.78,32.81,39.14,5.9,36.8,55.48,76.21,0.38,0
MORMON LAKE,20215,AMOL,34.90972,-111.43842,7094,2026-08-23T01:03:14.000Z,2026-08-22T18:03:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,282,6.5,9.5,15.29,15.19,25.03,39.23,4.31,31.9,69.54,85.16,0.43,0
WARM SPRINGS CANYON,20216,AWAR,36.70117,-112.22689,7953,2026-08-23T00:47:34.000Z,2026-08-22T17:47:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,345,5.38,8.15,12.7,13.61,16.92,11.72,5.37,20.22,62.98,80.98,0.4,0
YELLOW JOHN MOUNTAIN,20217,AYEL,36.155,-113.54944,6160,2026-08-23T00:50:25.000Z,2026-08-22T17:50:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,283,3.94,7.04,12.38,14.21,35.45,29.98,8.61,38.74,30.0,60.0,0.18,0
OAK CREEK,20219,AOAK,34.94686,-111.75444,4804,2026-08-23T01:03:04.000Z,2026-08-22T18:03:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,574,4.91,6.34,10.42,12.09,29.0,27.4,7.4,34.66,30.0,60.0,0.09,0
LINDBERGH HILL,20220,ALBE,36.28556,-112.07861,8800,2026-08-23T01:08:14.000Z,2026-08-22T18:08:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,395,5.59,7.12,10.96,12.64,17.35,13.93,4.75,20.71,77.73,90.37,0.45,0
PROMONTORY,20221,APRO,34.36528,-111.01444,7842,2026-08-23T00:49:34.000Z,2026-08-22T17:49:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,121,12.02,8.44,12.02,14.17,2.11,2.61,0.28,2.62,169.19,148.57,0.74,0
GUNSIGHT,20223,AGUN,36.70464,-112.5835,5284,2026-08-23T00:34:14.000Z,2026-08-22T17:34:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,522,3.75,6.82,9.91,11.2,42.67,39.63,8.87,44.62,30.0,60.0,0.14,0
BUCKSKIN MTN,20224,ABUC,36.91808,-112.19981,6334,2026-08-23T00:33:45.000Z,2026-08-22T17:33:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,416,3.96,6.29,9.57,11.48,58.74,83.2,8.59,61.87,30.0,60.0,0.2,0
PARIA POINT,20226,APAR,36.72753,-111.822,7106,2026-08-23T01:00:45.000Z,2026-08-22T18:00:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,398,4.73,6.61,10.08,10.9,41.9,55.07,7.61,48.41,30.0,60.0,0.24,0
FOUR SPRINGS,20227,AFOU,36.79367,-112.04239,6560,2026-08-23T01:19:25.000Z,2026-08-22T18:19:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,284,4.54,6.38,10.25,10.78,26.5,20.98,7.84,31.48,30.0,60.0,0.25,0
GREENBASE,20284,AGRB,35.27619,-112.06325,6923,2026-08-23T01:16:34.000Z,2026-08-22T18:16:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,223,5.87,9.75,15.96,17.45,20.98,21.61,4.95,25.82,63.49,81.31,0.41,0
HAPPY JACK,20291,AHJK,34.61797,-111.34239,6812,2026-08-23T01:02:04.000Z,2026-08-22T18:02:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,381,8.04,9.23,14.61,16.25,17.29,32.79,3.46,26.55,61.12,79.8,0.4,0
HEBER,20301,AHBR,34.39778,-110.56444,6635,2026-08-23T01:03:04.000Z,2026-08-22T18:03:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,219,13.25,9.95,13.87,15.62,2.31,5.27,0.89,6.13,30.5,60.32,0.3,0
LAKESIDE,20303,ALAK,34.16283,-109.87639,7267,2026-08-23T01:00:14.000Z,2026-08-22T18:00:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,15,10.31,12.73,16.95,17.32,4.59,5.61,2.1,9.36,74.34,88.21,0.44,0
NAVAJO MONUMENT,20307,ANAV,36.67667,-110.54389,7204,2026-08-23T00:36:34.000Z,2026-08-22T17:36:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,198,6.49,7.24,10.41,11.84,17.55,18.37,5.67,25.51,30.0,60.0,0.14,0
LIMESTONE CANYON,20309,ALIM,34.17786,-110.27663,7102,2026-08-23T01:24:24.000Z,2026-08-22T18:24:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,335,16.52,17.12,11.61,12.9,0.0,0.0,0.0,0.0,34.46,62.84,0.31,0
MOUNTAIN LION,20310,AFAP,33.69511,-109.71078,7269,2026-08-23T01:14:54.000Z,2026-08-22T18:14:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,66,7.66,9.11,14.26,16.23,9.79,9.17,2.37,12.4,125.45,120.74,0.6,0
HOPI,20312,AHPI,35.86292,-110.61495,5579,2026-08-23T01:13:45.000Z,2026-08-22T18:13:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,473,4.93,7.23,12.3,12.33,56.35,205.42,7.37,87.38,30.0,60.0,0.07,0
ALPINE,20401,AALP,33.84272,-109.11161,8207,2026-08-23T01:16:54.000Z,2026-08-22T18:16:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,81,11.84,10.72,14.4,15.92,1.74,1.62,0.49,2.7,140.97,130.62,0.65,0
PINEY HILL,20402,APIN,35.76111,-109.16719,8061,2026-08-23T00:41:24.000Z,2026-08-22T17:41:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,184,11.22,15.28,11.03,12.51,6.76,17.09,1.8,14.57,49.55,72.44,0.36,0
GREER,20404,AGRE,34.05853,-109.44097,8240,2026-08-23T00:35:49.000Z,2026-08-22T17:35:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,55,12.09,16.12,15.18,16.19,1.4,1.01,0.31,1.76,163.34,144.86,0.72,0
IRON SPRINGS,20501,AIRO,34.59361,-112.51139,5385,2026-08-23T01:06:34.000Z,2026-08-22T18:06:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,379,4.57,6.73,11.85,13.71,48.04,66.73,7.81,53.49,30.0,60.0,0.22,0
CROWN KING,20502,ACRO,34.20336,-112.34561,6173,2026-08-23T01:27:34.000Z,2026-08-22T18:27:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,377,4.87,6.62,11.3,12.91,24.96,20.39,7.44,30.33,30.0,60.0,0.25,0
VERDE,20503,AVER,34.54917,-111.84417,3101,2026-08-23T01:05:14.000Z,2026-08-22T18:05:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,551,5.62,6.44,10.85,12.64,39.44,61.6,6.58,47.66,30.0,60.0,0.06,0
GOODWIN MESA,20507,AGOO,34.77614,-113.3375,4311,2026-08-23T01:20:45.000Z,2026-08-22T18:20:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,447,3.63,5.38,10.32,11.86,71.73,114.24,9.03,73.24,30.0,60.0,0.12,0
HUMBUG CREEK,20508,AHUM,34.11,-112.3,5250,2026-08-23T00:48:15.000Z,2026-08-22T17:48:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,257,4.64,5.33,9.31,11.07,39.38,45.44,7.72,44.59,30.0,60.0,0.19,0
STANTON,20509,ASTA,34.16403,-112.73486,3600,2026-08-23T01:01:25.000Z,2026-08-22T18:01:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,542,3.33,4.12,7.44,9.16,59.33,63.76,9.45,57.19,30.0,60.0,0.07,0
SUNSET POINT,20510,ASUN,34.18847,-112.13467,3380,2026-08-23T00:53:15.000Z,2026-08-22T17:53:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,617,3.18,4.48,8.4,9.9,50.12,42.49,9.66,47.95,30.0,60.0,0.04,0
CHERRY,20511,ACHE,34.59661,-112.04761,5147,2026-08-23T01:11:54.000Z,2026-08-22T18:11:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,195,6.33,7.33,12.21,13.54,21.77,24.96,5.84,29.77,30.0,60.0,0.16,0
GLOBE,20601,AGLO,33.32694,-110.76694,4137,2026-08-23T01:06:25.000Z,2026-08-22T18:06:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,513,12.95,17.57,9.43,10.07,4.85,14.6,1.05,10.58,30.0,60.0,0.06,0
PAYSON,20602,APAY,34.24614,-111.2935,5064,2026-08-23T01:11:04.000Z,2026-08-22T18:11:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,379,34.8,6.51,10.42,12.17,0.0,0.0,0.0,0.0,30.0,60.0,0.12,0
PLEASANT VALLEY,20603,APLE,34.08858,-110.94225,5232,2026-08-23T01:00:34.000Z,2026-08-22T18:00:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,295,8.48,8.45,13.32,14.41,9.91,11.8,3.91,17.54,30.0,60.0,0.13,0
TONTO BASIN,20606,ATON,33.86861,-111.31333,2414,2026-08-23T01:11:14.000Z,2026-08-22T18:11:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,597,3.73,5.28,9.02,9.99,33.4,22.77,8.89,34.63,30.0,60.0,0.0,0
SAN CARLOS #1,20608,ASCA,33.37165,-110.45683,2830,2026-08-23T01:14:24.000Z,2026-08-22T18:14:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,606,4.24,4.79,8.06,9.44,53.02,68.85,8.23,55.6,30.0,60.0,0.01,0
HILLTOP,20609,AHIL,33.61119,-110.41461,5732,2026-08-23T00:32:54.000Z,2026-08-22T17:32:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,79,5.84,8.14,14.26,15.89,38.85,71.38,6.35,50.17,30.0,60.0,0.27,0
RED LAKE,20610,ARED,34.18133,-110.78919,6524,2026-08-23T00:59:34.000Z,2026-08-22T17:59:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,89,26.86,19.1,17.68,18.64,0.0,0.0,0.0,0.0,52.52,74.33,0.37,0
SHADOW RIM,20611,ASHA,34.40586,-111.28319,5660,2026-08-23T01:09:14.000Z,2026-08-22T18:09:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,441,34.75,8.51,14.52,15.5,0.0,0.0,0.0,0.0,30.0,60.0,0.18,0
PINE,20612,APNE,34.37181,-111.4555,5313,2026-08-23T01:22:24.000Z,2026-08-22T18:22:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,457,35.0,19.74,11.65,13.0,0.0,0.0,0.0,0.0,30.0,60.0,0.16,0
HORSE CAMP CANYON,20903,AHOR,32.93656,-110.4935,4014,2026-08-23T01:02:55.000Z,2026-08-22T18:02:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,572,34.93,5.43,9.09,10.41,0.0,0.0,0.0,0.0,30.0,60.0,0.06,0
CASA GRANDE,20906,ACSG,32.99177,-111.53264,1412,2026-08-23T01:22:34.000Z,2026-08-22T18:22:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,684,3.13,5.09,10.1,11.36,51.66,42.81,9.75,48.3,30.0,60.0,0.0,0
COLUMBINE,21005,ACOL,32.70389,-109.91389,9521,2026-08-23T01:02:04.000Z,2026-08-22T18:02:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,34,7.82,9.5,15.5,17.92,1.45,0.23,0.07,0.46,240.83,194.16,0.97,0
MULESHOE RANCH,21007,AMUL,32.40383,-110.272,4475,2026-08-23T01:03:05.000Z,2026-08-22T18:03:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,367,34.95,7.52,10.42,12.2,0.0,0.0,0.0,0.0,30.0,60.0,0.11,0
BLACK HILLS,21008,ABLA,33.08203,-109.95119,3262,2026-08-23T00:53:35.000Z,2026-08-22T17:53:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,661,2.98,4.43,7.3,8.91,81.51,140.56,9.96,84.3,30.0,60.0,0.03,0
DRY LAKE,21009,ADRL,33.35982,-109.83306,7405,2026-08-23T01:27:34.000Z,2026-08-22T18:27:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,382,6.6,7.5,10.55,12.84,13.71,12.43,4.89,19.91,46.91,70.76,0.35,0
NOON CREEK,21010,ANOO,32.66778,-109.78806,4925,2026-08-23T00:37:04.000Z,2026-08-22T17:37:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,458,4.31,5.37,8.55,10.42,23.95,15.21,8.13,27.6,30.0,60.0,0.1,0
GUTHRIE,21104,AGUT,32.88203,-109.30931,6324,2026-08-23T01:03:45.000Z,2026-08-22T18:03:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,401,6.68,5.89,8.72,10.58,40.83,190.99,5.49,73.81,30.0,60.0,0.23,0
TRAIL CABIN,21105,ATRA,33.26478,-109.36789,6250,2026-08-23T00:35:39.000Z,2026-08-22T17:35:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,414,34.78,7.98,10.57,12.11,0.0,0.0,0.0,0.0,30.0,60.0,0.16,0
STRAY HORSE,21106,ASTH,33.55253,-109.31719,7956,2026-08-23T01:19:04.000Z,2026-08-22T18:19:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,110,8.7,8.47,10.97,12.42,9.73,13.62,1.76,12.99,128.49,122.68,0.61,0
SAGUARO,21202,ASAG,32.31111,-110.81861,2758,2026-08-23T01:08:04.000Z,2026-08-22T18:08:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,424,4.41,6.23,11.15,11.97,20.05,10.39,8.01,23.0,30.0,60.0,0.01,0
EMPIRE,21205,AEMP,31.78347,-110.64325,4650,2026-08-23T00:53:55.000Z,2026-08-22T17:53:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,278,5.56,7.2,13.07,14.95,28.72,33.83,6.65,36.35,30.0,60.0,0.17,0
SASABE,21206,ASAS,31.69169,-111.44811,3500,2026-08-23T01:05:44.000Z,2026-08-22T18:05:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,624,24.12,18.87,14.18,14.45,0.0,0.0,0.0,0.0,30.0,60.0,0.05,0
RINCON,21207,ARIN,32.20639,-110.54861,8209,2026-08-23T00:37:35.000Z,2026-08-22T17:37:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,14,9.78,8.32,11.78,14.57,1.58,0.51,0.32,1.31,192.08,163.14,0.82,0
SCOUT CAMP,21208,ASOL,32.39806,-110.725,7554,2026-08-23T00:37:14.000Z,2026-08-22T17:37:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,84,5.94,6.56,9.85,12.46,10.85,5.92,1.9,9.16,151.69,137.44,0.69,0
SELLS,21209,ASES,31.91014,-111.89743,2262,2026-08-23T01:14:14.000Z,2026-08-22T18:14:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,508,4.5,5.43,9.77,11.59,63.63,230.79,7.89,95.14,30.0,60.0,0.02,0
HOPKINS,21302,AHPK,31.67528,-110.88,7120,2026-08-23T01:19:24.000Z,2026-08-22T18:19:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,481,16.57,21.58,10.23,12.52,0.0,0.0,0.0,0.0,30.0,60.0,0.28,0
CANELO,21303,ACNL,31.54972,-110.51917,4629,2026-08-23T01:08:54.000Z,2026-08-22T18:08:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,116,8.71,15.1,13.32,14.87,13.19,22.1,3.73,22.91,30.0,60.0,0.27,0
HEADQUARTERS,21409,ACHR,32.00611,-109.35694,5400,2026-08-23T00:37:05.000Z,2026-08-22T17:37:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,464,3.75,6.79,11.19,12.52,53.42,60.63,8.87,54.27,30.0,60.0,0.15,0
CARR,21411,ACAA,31.44111,-110.28611,5400,2026-08-23T01:19:14.000Z,2026-08-22T18:19:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,75,34.81,6.31,10.16,12.64,0.0,0.0,0.0,0.0,31.38,60.88,0.3,0
RUCKER,21414,ARUC,31.76111,-109.34861,5700,2026-08-23T00:57:04.000Z,2026-08-22T17:57:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,49,34.92,6.46,11.42,14.59,0.0,0.0,0.0,0.0,62.89,80.93,0.4,0
SMITH PEAK,21501,ASMI,34.11486,-113.34733,2386,2026-08-23T00:53:05.000Z,2026-08-22T17:53:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,654,2.92,3.67,6.83,8.35,72.91,80.49,10.05,65.48,30.0,60.0,0.02,0
OATMAN,21502,AOAT,33.04994,-113.13867,1715,2026-08-23T00:52:35.000Z,2026-08-22T17:52:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,634,2.87,3.75,7.13,8.18,85.33,110.31,10.13,75.98,30.0,60.0,0.0,0
AHAKHAV PRESERVE,21503,AAHA,34.13222,-114.32917,363,2026-08-23T01:26:44.000Z,2026-08-22T18:26:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,745,2.81,4.76,9.28,10.47,42.79,25.66,10.22,39.01,30.0,60.0,0.0,0
BELMONT,21504,ABEL,33.67411,-112.92281,1813,2026-08-23T01:01:45.000Z,2026-08-22T18:01:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,690,2.71,3.65,6.89,8.69,63.67,56.84,10.36,56.6,30.0,60.0,0.01,0
GOLDFIELD,21505,AGOL,33.55531,-111.6145,1367,2026-08-23T01:23:14.000Z,2026-08-22T18:23:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,680,2.83,4.76,10.01,10.95,49.05,34.46,10.19,44.61,30.0,60.0,0.0,0
WASHINGTON PASS,290101,XWAS,36.0765,-108.8615,9384,2026-08-23T00:41:14.000Z,2026-08-22T17:41:00.000-07:00,2026-08-23T01:00:00.000Z,2026-08-22T18:00:00.000-07:00,2026-08-22,18,O,V,4,248,14.93,19.53,11.81,13.15,0.16,0.05,0.02,0.11,109.52,110.6,0.55,0
