station_name,station_id,wrcc_id,latitude,longitude,elevation,observation_time,observation_time_lst,display_hour,display_hour_lst,nfdr_date,nfdr_time,nfdr_type,fuel_model,fuel_model_version,kbdi,one_hr_tl_fuel_moisture,ten_hr_tl_fuel_moisture,hun_hr_tl_fuel_moisture,thou_hr_tl_fuel_moisture,ignition_component,spread_component,energy_release_component,burning_index,herbaceous_lfi_fuel_moisture,woody_lfi_fuel_moisture,gsi,quality_code
MILLS CANYON,291101,XMIL,36.05453,-104.32511,5881,2026-08-23T04:05:54.000Z,2026-08-22T21:05:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,537,12.84,11.35,10.01,12.23,7.05,5.72,71.21,47.76,30.0,60.0,0.09,0
PECOS,291202,XPEC,35.54558,-105.49439,8229,2026-08-23T04:14:04.000Z,2026-08-22T21:14:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,68,14.18,20.38,12.42,13.42,3.96,4.57,47.19,35.67,30.0,60.0,0.18,0
BRUSHY MOUNTAIN,291301,XBRU,34.72,-107.8484,8789,2026-08-23T03:49:44.000Z,2026-08-22T20:49:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,209,13.4,18.5,13.17,14.43,5.89,7.43,48.8,45.28,65.09,82.33,0.41,0
GRANTS,291302,XGRA,35.24278,-107.66528,8620,2026-08-23T04:16:24.000Z,2026-08-22T21:16:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,124,13.81,11.65,15.0,15.16,2.98,2.27,55.31,27.79,81.44,92.73,0.46,0
OAK FLATS,291402,XOAK,35.00614,-106.31583,7675,2026-08-23T04:04:04.000Z,2026-08-22T21:04:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,450,12.95,8.05,12.06,13.02,4.61,3.39,72.21,37.8,30.0,60.0,0.15,0
SANDIA LAB,291408,XSLB,35.00406,-106.41148,6321,2026-08-23T03:53:34.000Z,2026-08-22T20:53:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,258,10.88,7.17,10.03,10.65,14.94,13.19,87.37,77.07,30.0,60.0,0.11,0
MOUNTAINAIR,291501,XMOU,34.52081,-106.26269,6593,2026-08-23T04:05:54.000Z,2026-08-22T21:05:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,468,25.55,16.73,11.74,12.96,0.0,0.02,36.51,2.46,30.0,60.0,0.08,0
MELROSE RANGE,291901,XMEL,34.28422,-103.71497,4263,2026-08-23T04:14:11.000Z,2026-08-22T21:14:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,651,6.76,5.6,9.48,10.15,40.98,27.7,103.81,117.37,30.0,60.0,0.0,0
BEAVERHEAD,292001,XBEA,33.42353,-108.11019,6750,2026-08-23T04:08:14.000Z,2026-08-22T21:08:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,177,16.25,15.42,17.0,17.45,1.48,2.02,39.28,22.51,30.0,60.0,0.23,0
LUNA,292004,XLUN,33.82289,-108.94311,7088,2026-08-23T04:07:14.000Z,2026-08-22T21:07:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,259,17.89,14.7,18.14,18.08,0.84,1.82,35.56,20.48,30.0,60.0,0.29,0
RESERVE,292005,XRES,33.71489,-108.777,5846,2026-08-23T04:08:14.000Z,2026-08-22T21:08:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,454,16.56,14.08,16.66,16.43,1.43,1.99,42.59,23.2,30.0,60.0,0.1,0
