station_id,station_name,summary_date,nfdr_type,fuel_model,kbdi,gsi,ignition_component_max,ignition_component_max_time,spread_component_max,spread_component_max_time,energy_release_component_max,energy_release_component_max_time,burning_index_max,burning_index_max_time,one_hr_tl_fuel_moisture_min,one_hr_tl_fuel_moisture_min_time,ten_hr_tl_fuel_moisture_min,ten_hr_tl_fuel_moisture_min_time,hun_hr_tl_fuel_moisture_min,hun_hr_tl_fuel_moisture_min_time,thou_hr_tl_fuel_moisture_min,thou_hr_tl_fuel_moisture_min_time,herbaceous_lfi_fuel_moisture,woody_lfi_fuel_moisture,latitude,longitude,elevation
20303,LAKESIDE,8/22/2026,F,X,21,0.44,22.95,,31.24,,64.7,,99.8,,6.58,,9.09,,14.62,,16.85,,73.29,87.55,34.16283,-109.87639,7267
21209,SELLS,8/22/2026,F,X,516,0.02,55.37,,74.97,,90.84,,174.51,,4.32,,5.75,,9.01,,10.92,,30.0,60.0,31.91014,-111.89743,2262
21414,RUCKER,8/22/2026,F,X,62,0.4,34.69,,35.74,,81.77,,115.15,,4.22,,6.61,,10.22,,13.56,,62.89,80.93,31.76111,-109.34861,5700
20404,GREER,8/22/2026,F,X,60,0.72,14.14,,16.16,,34.97,,55.4,,7.41,,10.4,,13.76,,15.83,,162.77,144.49,34.05853,-109.44097,8240
21106,STRAY HORSE,8/22/2026,F,X,116,0.6,25.08,,43.35,,54.58,,94.51,,5.71,,8.73,,10.67,,12.14,,125.12,120.53,33.55253,-109.31719,7956
21005,COLUMBINE,8/22/2026,F,X,41,0.97,6.77,,3.46,,30.76,,24.79,,6.51,,7.86,,13.53,,17.13,,239.55,193.35,32.70389,-109.91389,9521
21502,OATMAN,8/22/2026,F,X,638,0.0,75.83,,140.06,,96.7,,234.17,,3.56,,4.32,,6.51,,7.76,,30.0,60.0,33.04994,-113.13867,1715
21302,HOPKINS,8/22/2026,F,X,449,0.28,30.12,,64.56,,76.14,,133.79,,6.56,,10.07,,10.18,,11.91,,30.0,60.0,31.67528,-110.88,7120
20507,GOODWIN MESA,8/22/2026,F,X,453,0.12,72.87,,112.87,,95.47,,215.41,,3.67,,4.62,,8.68,,11.05,,30.0,60.0,34.77614,-113.3375,4311
21010,NOON CREEK,8/22/2026,F,X,464,0.1,62.57,,77.44,,96.95,,179.12,,3.29,,4.87,,8.02,,9.98,,30.0,60.0,32.66778,-109.78806,4925
20510,SUNSET POINT,8/22/2026,F,X,622,0.04,60.94,,76.64,,96.0,,170.86,,3.55,,4.61,,7.5,,9.33,,30.0,60.0,34.18847,-112.13467,3380
21411,CARR,8/22/2026,F,X,90,0.3,37.62,,53.8,,85.98,,132.99,,4.99,,6.82,,9.55,,12.02,,31.38,60.88,31.44111,-110.28611,5400
21409,HEADQUARTERS,8/22/2026,F,X,471,0.15,49.69,,56.26,,92.61,,154.29,,4.06,,5.48,,9.63,,11.85,,30.0,60.0,32.00611,-109.35694,5400
21202,SAGUARO,8/22/2026,F,X,434,0.01,49.79,,47.92,,94.68,,144.77,,3.78,,5.03,,9.22,,11.16,,30.0,60.0,32.31111,-110.81861,2758
21007,MULESHOE RANCH,8/22/2026,F,X,376,0.11,49.95,,56.33,,91.9,,153.83,,3.94,,6.0,,9.34,,11.54,,30.0,60.0,32.40383,-110.272,4475
21104,GUTHRIE,8/22/2026,F,X,406,0.23,59.17,,149.91,,93.02,,217.56,,3.93,,5.59,,8.34,,10.22,,30.0,60.0,32.88203,-109.30931,6324
21208,SCOUT CAMP,8/22/2026,F,X,96,0.67,10.79,,19.94,,39.13,,59.44,,8.08,,8.25,,9.55,,11.96,,146.04,133.84,32.39806,-110.725,7554
55522385,TAOS PUEBLO RAWS,8/22/2026,F,X,456,0.02,24.51,,106.08,,67.73,,167.44,,8.39,,8.41,,10.78,,12.1,,30.0,60.0,36.41461,-105.55689,7135
20903,HORSE CAMP CANYON,8/22/2026,F,X,577,0.06,45.11,,79.42,,87.21,,172.24,,5.3,,5.66,,8.23,,9.94,,30.0,60.0,32.93656,-110.4935,4014
292302,DUNKEN,8/22/2026,F,X,488,0.02,71.7,,152.38,,95.25,,247.17,,3.64,,5.01,,8.06,,9.51,,30.0,60.0,32.82467,-105.18261,5431
20601,GLOBE,8/22/2026,F,X,497,0.06,60.71,,96.67,,91.43,,196.18,,4.17,,5.68,,8.69,,9.83,,30.0,60.0,33.32694,-110.76694,4137
20223,GUNSIGHT,8/22/2026,F,X,526,0.14,66.24,,88.91,,94.91,,192.02,,3.64,,5.15,,8.72,,10.72,,30.0,60.0,36.70464,-112.5835,5284
20307,NAVAJO MONUMENT,8/22/2026,F,X,202,0.14,51.78,,83.99,,87.13,,180.38,,4.8,,7.01,,10.01,,11.56,,30.0,60.0,36.67667,-110.54389,7204
292005,RESERVE,8/22/2026,F,X,458,0.1,58.39,,130.62,,85.75,,219.18,,4.56,,8.0,,13.71,,16.01,,30.0,60.0,33.71489,-108.777,5846
20906,CASA GRANDE,8/22/2026,F,X,687,0.0,71.44,,155.5,,95.85,,242.7,,3.63,,4.77,,8.43,,10.47,,30.0,60.0,32.99177,-111.53264,1412
293202,PADUCA,8/22/2026,F,X,605,0.0,69.49,,149.87,,93.46,,243.16,,3.95,,5.26,,7.91,,8.88,,30.0,60.0,32.17983,-103.722,3534
20609,HILLTOP,8/22/2026,F,X,90,0.27,47.7,,101.66,,86.03,,192.58,,4.93,,7.0,,12.24,,14.93,,30.0,60.0,33.61119,-110.41461,5732
20213,FRAZIER WELLS,8/22/2026,F,X,98,0.39,49.64,,85.71,,81.27,,174.05,,4.85,,6.01,,9.37,,11.34,,57.43,77.45,35.84551,-113.05501,6796
20309,LIMESTONE CANYON,8/22/2026,F,X,340,0.3,34.4,,49.07,,82.56,,130.48,,5.42,,8.11,,10.94,,12.43,,30.77,60.49,34.17786,-110.27663,7102
55522318,MOHAWK DUNES,8/22/2026,F,X,749,0.0,69.98,,145.14,,94.02,,237.63,,4.1,,4.4,,6.9,,8.02,,30.0,60.0,32.68878,-113.74889,524
292901,MCGREGGOR RANGE,8/22/2026,F,X,598,0.01,75.98,,102.47,,96.64,,207.11,,3.34,,4.84,,7.37,,9.35,,30.0,60.0,32.43133,-105.62181,4832
20217,YELLOW JOHN MOUNTAIN,8/22/2026,F,X,289,0.18,45.04,,54.99,,90.44,,149.38,,4.24,,6.21,,10.8,,13.48,,30.0,60.0,36.155,-113.54944,6160
290203,DEADMAN PEAK,8/22/2026,F,X,492,0.01,58.42,,144.35,,86.51,,230.42,,4.63,,7.61,,10.56,,11.66,,30.0,60.0,36.4229,-106.772,8389
292203,SMOKEY BEAR,8/22/2026,F,X,103,0.27,49.77,,92.25,,83.75,,183.77,,5.29,,7.45,,12.64,,15.58,,30.0,60.0,33.35019,-105.686,7194
21303,CANELO,8/22/2026,F,X,127,0.27,44.02,,72.69,,85.15,,156.0,,5.09,,7.8,,11.57,,14.01,,30.0,60.0,31.54972,-110.51917,4629
