station_name,station_id,wrcc_id,latitude,longitude,elevation,summary_date,observation_type,temperature_min,temperature_max,relative_humidity_min,relative_humidity_max,wind_speed_min,wind_speed_max,peak_gust_speed_min,peak_gust_speed_max,daily_precipitation_total
10K,55522198,X10K,35.2085,-106.43586,10065,2026-08-23,F,54,76,25,57,3,11,5,16,0.0
AHAKHAV PRESERVE,21503,AAHA,34.13222,-114.32917,363,2026-08-23,F,87,111,17,37,1,11,5,22,0.0
ALBINO CANYON,290102,XALB,36.97661,-107.62892,7173,2026-08-23,F,61,91,18,65,3,15,5,21,0.0
ALPINE,20401,AALP,33.84272,-109.11161,8207,2026-08-23,F,56,79,27,62,2,6,3,9,0.03
BAKERS TANK,55522210,AHBB,32.61528,-114.00836,563,2026-08-23,F,88,108,23,42,3,9,6,18,0.0
BARTLEY,291002,XBAR,35.90875,-105.38769,9192,2026-08-23,F,57,79,25,56,3,13,5,17,0.0
BATDRAW,293101,XBAD,32.17861,-104.44056,4425,2026-08-23,F,74,98,15,40,3,14,7,25,0.0
BEAVERHEAD,292001,XBEA,33.42353,-108.11019,6750,2026-08-23,F,54,89,19,74,2,7,3,9,0.0
BELMONT,21504,ABEL,33.67411,-112.92281,1813,2026-08-23,F,86,106,17,32,3,7,8,17,0.0
BLACK HILLS,21008,ABLA,33.08203,-109.95119,3262,2026-08-23,F,80,104,13,36,3,7,7,17,0.0
BLACK MESA,290305,XBLM,36.03708,-106.04964,5762,2026-08-23,F,60,94,19,62,3,10,5,15,0.03
BLACK ROCK,20114,ABRK,36.79436,-113.75056,7224,2026-08-23,F,68,84,21,34,3,6,11,19,0.0
BLUEWATER RIDGE,293303,XBLR,35.19411,-108.16336,8274,2026-08-23,F,58,82,25,57,2,8,3,11,0.05
BOSQUE,292103,XBOS,33.82064,-106.88169,4523,2026-08-23,F,65,99,14,57,2,9,3,13,0.0
BRIGHT ANGEL,20211,ACAN,36.20472,-112.06222,8134,2026-08-23,F,52,82,23,62,2,13,5,19,0.0
BRUSHY MOUNTAIN,291301,XBRU,34.72,-107.8484,8789,2026-08-23,F,58,83,23,58,3,8,5,11,0.0
BUCKSKIN MTN,20224,ABUC,36.91808,-112.19981,6334,2026-08-23,F,62,88,20,50,2,10,5,19,0.0
BURRO MOUNTAIN,292504,XBUR,32.67203,-108.53969,6995,2026-08-23,F,67,92,18,41,6,15,13,22,0.0
CANELO,21303,ACNL,31.54972,-110.51917,4629,2026-08-23,F,68,93,23,61,3,8,7,17,0.0
CAPROCK,293104,XCAP,32.92728,-103.85689,4167,2026-08-23,F,71,98,15,48,8,15,11,23,0.0
CARR,21411,ACAA,31.44111,-110.28611,5400,2026-08-23,F,70,95,24,53,2,7,7,15,0.0
CASA GRANDE,20906,ACSG,32.99177,-111.53264,1412,2026-08-23,F,84,107,17,38,3,9,6,16,0.0
CAVE CREEK,55522232,ACAV,34.0899,-111.8465,3477,2026-08-23,F,77,102,16,39,2,6,7,11,0.02
CEDAR RIDGE,55523718,ACED,32.59872,-110.76231,4735,2026-08-23,F,76,98,17,38,5,9,9,16,0.04
CHERRY,20511,ACHE,34.59661,-112.04761,5147,2026-08-23,F,70,92,23,48,2,6,3,9,0.0
CHUPADERA,292102,XCHU,33.77294,-106.0985,5580,2026-08-23,F,67,95,16,48,3,11,5,16,0.0
CIBOLA,20121,ACBL,33.28,-114.68489,252,2026-08-23,F,88,113,17,37,3,13,7,22,0.0
CIMARRON,290401,XCIM,36.60611,-105.12028,8806,2026-08-23,F,51,81,24,77,3,11,5,16,0.0
CIPRIANO,55522238,ARIP,32.4235,-114.16211,1042,2026-08-23,F,88,107,25,48,3,13,7,19,0.0
COLUMBINE,21005,ACOL,32.70389,-109.91389,9521,2026-08-23,F,55,75,28,60,1,5,6,13,0.0
COSMIC,293004,XCOS,32.77925,-105.81989,9172,2026-08-23,F,57,78,27,51,2,8,7,18,0.0
COYOTE,290202,XCOY,36.07333,-106.65739,8704,2026-08-23,F,54,83,22,64,6,13,8,17,0.02
CROWN KING,20502,ACRO,34.20336,-112.34561,6173,2026-08-23,F,70,89,23,42,3,8,5,13,0.02
CUBA,290705,XCUB,35.942,-107.07739,6890,2026-08-23,F,59,90,16,55,2,13,3,17,0.0
DATIL,292012,XDAT,34.29256,-107.768,8431,2026-08-23,F,57,81,23,58,3,8,5,11,0.0
DEADMAN PEAK,290203,XDEA,36.4229,-106.772,8389,2026-08-23,F,59,85,16,53,3,16,5,23,0.0
DEVILS HILLS,55522251,ADVH,32.42483,-113.79011,836,2026-08-23,F,88,107,22,42,5,9,8,16,0.0
DRIPPING SPRINGS,292903,XDRI,32.32225,-106.58661,5814,2026-08-23,F,74,93,17,32,2,8,9,19,0.0
DRY LAKE,21009,ADRL,33.35982,-109.83306,7405,2026-08-23,F,65,90,18,49,5,7,11,15,0.0
DRY PARK,20212,ADRY,36.45308,-112.23819,8700,2026-08-23,F,51,78,27,64,3,10,5,17,0.0
DULCE #2,290205,XDUL,36.93519,-107.00011,6805,2026-08-23,F,52,91,19,86,2,16,3,23,0.0
DUNKEN,292302,XDUN,32.82467,-105.18261,5431,2026-08-23,F,66,95,15,44,5,13,7,17,0.0
DUTCH KID,55522257,ADUT,35.12931,-112.28219,6505,2026-08-23,F,61,86,24,57,3,8,5,13,0.0
EIGHT MILE DRAW,292301,XEIG,33.65064,-104.32139,3626,2026-08-23,F,71,103,13,50,5,15,7,21,0.0
EMPIRE,21205,AEMP,31.78347,-110.64325,4650,2026-08-23,F,69,95,21,57,2,6,6,16,0.0
FLAGSTAFF,20209,AFLG,35.14111,-111.6725,6903,2026-08-23,F,54,83,24,67,0,8,1,13,0.02
FORT YUMA,20102,AFYM,32.65222,-114.63417,185,2026-08-23,F,88,110,22,52,3,11,6,19,0.0
FOUR SPRINGS,20227,AFOU,36.79367,-112.04239,6560,2026-08-23,F,62,85,21,48,3,9,5,16,0.0
FRAZIER WELLS,20213,AFRA,35.84551,-113.05501,6796,2026-08-23,F,61,84,24,47,5,13,8,21,0.0
FTHL YDMA,55522271,AFTH,32.48658,-114.4635,331,2026-08-23,F,89,110,25,52,3,13,6,19,0.0
GILA CENTER RAWS,292011,XGIL,33.22375,-108.24031,5767,2026-08-23,F,55,94,17,83,2,7,3,9,0.0
GLOBE,20601,AGLO,33.32694,-110.76694,4137,2026-08-23,F,79,98,18,36,3,7,8,17,0.0
GOLDFIELD,21505,AGOL,33.55531,-111.6145,1367,2026-08-23,F,86,110,15,36,3,6,5,11,0.0
GOODWIN MESA,20507,AGOO,34.77614,-113.3375,4311,2026-08-23,F,75,98,17,35,5,11,6,18,0.0
GRANTS,291302,XGRA,35.24278,-107.66528,8620,2026-08-23,F,54,82,24,69,2,9,3,13,0.0
GREENBASE,20284,AGRB,35.27619,-112.06325,6923,2026-08-23,F,56,82,26,64,2,8,3,13,0.0
GREER,20404,AGRE,34.05853,-109.44097,8240,2026-08-23,F,55,77,31,62,2,7,3,10,0.1
GUNSIGHT,20223,AGUN,36.70464,-112.5835,5284,2026-08-23,F,66,94,18,44,2,10,5,17,0.0
GUTHRIE,21104,AGUT,32.88203,-109.30931,6324,2026-08-23,F,72,92,16,40,5,15,15,25,0.0
HACHITA VALLEY,292702,XHAC,31.702,-108.34169,4290,2026-08-23,F,72,100,14,37,2,9,3,13,0.0
HAPPY JACK,20291,AHJK,34.61797,-111.34239,6812,2026-08-23,F,59,83,29,62,1,7,2,11,0.05
HAVASU,20118,AHAV,34.80758,-114.53456,475,2026-08-23,F,86,115,13,37,1,9,5,19,0.0
HEADQUARTERS,21409,ACHR,32.00611,-109.35694,5400,2026-08-23,F,68,95,18,43,3,6,7,13,0.0
HEBER,20301,AHBR,34.39778,-110.56444,6635,2026-08-23,F,61,84,25,60,3,7,5,10,0.07
