station_name,station_id,wrcc_id,latitude,longitude,elevation,observation_time,observation_time_lst,display_hour,display_hour_lst,nfdr_date,nfdr_time,nfdr_type,fuel_model,fuel_model_version,kbdi,one_hr_tl_fuel_moisture,ten_hr_tl_fuel_moisture,hun_hr_tl_fuel_moisture,thou_hr_tl_fuel_moisture,ignition_component,spread_component,energy_release_component,burning_index,herbaceous_lfi_fuel_moisture,woody_lfi_fuel_moisture,gsi,quality_code
BARTLEY,291002,XBAR,35.90875,-105.38769,9192,8/23/2026 16:00 MDT,8/23/2026 16:04 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,127,6.24,9.36,12.94,13.75,37.81,3.69,39.58,29.8,116.72,115.18,0.58,0
MILLS CANYON,291101,XMIL,36.05453,-104.32511,5881,8/23/2026 16:00 MDT,8/23/2026 16:05 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,540,4.46,8.4,10.21,11.97,58.81,4.31,48.26,35.06,30.0,60.0,0.09,0
PECOS,291202,XPEC,35.54558,-105.49439,8229,8/23/2026 16:00 MDT,8/23/2026 16:14 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,81,5.17,9.07,12.02,12.69,53.94,5.06,43.83,36.11,48.53,71.79,0.36,0
BRUSHY MOUNTAIN,291301,XBRU,34.72,-107.8484,8789,8/23/2026 15:49 MDT,8/23/2026 15:49 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,212,34.79,13.03,13.17,14.22,0.0,0.0,22.33,0.0,67.4,83.8,0.42,0
GRANTS,291302,XGRA,35.24278,-107.66528,8620,8/23/2026 16:00 MDT,8/23/2026 16:16 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,130,6.02,9.29,14.17,15.1,35.03,2.9,35.6,25.43,79.7,91.63,0.46,0
OAK FLATS,291402,XOAK,35.00614,-106.31583,7675,8/23/2026 16:00 MDT,8/23/2026 16:04 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,455,5.12,8.02,11.53,12.77,48.05,3.74,44.68,31.7,30.0,60.0,0.13,0
SANDIA LAB,291408,XSLB,35.00406,-106.41148,6321,8/23/2026 15:00 MDT,8/23/2026 15:53 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,264,5.91,8.32,9.93,10.55,42.86,3.8,51.52,34.12,30.0,60.0,0.08,0
MOUNTAINAIR,291501,XMOU,34.52081,-106.26269,6593,8/23/2026 16:00 MDT,8/23/2026 16:05 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,472,4.47,7.9,11.1,12.6,55.64,3.97,46.0,33.02,30.0,60.0,0.08,0
MELROSE RANGE,291901,XMEL,34.28422,-103.71497,4263,8/23/2026 16:00 MDT,8/23/2026 16:14 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,654,3.4,5.74,8.85,9.92,76.79,5.66,58.03,43.28,30.0,60.0,0.0,0
BEAVERHEAD,292001,XBEA,33.42353,-108.11019,6750,8/23/2026 16:00 MDT,8/23/2026 16:08 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,183,5.12,9.58,15.66,17.27,34.3,1.97,30.16,19.69,30.0,60.0,0.24,0
LUNA,292004,XLUN,33.82289,-108.94311,7088,8/23/2026 16:00 MDT,8/23/2026 16:07 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,264,5.48,9.67,16.13,17.93,41.54,3.3,28.28,24.26,30.67,60.43,0.3,0
RESERVE,292005,XRES,33.71489,-108.777,5846,8/23/2026 16:00 MDT,8/23/2026 16:08 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,458,4.65,9.53,14.82,16.35,46.46,2.97,32.98,24.8,30.0,60.0,0.1,0
SLAUGHTER,292008,XSLA,34.06056,-108.44472,8680,8/23/2026 16:00 MDT,8/23/2026 16:12 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,22,6.8,9.79,14.08,15.78,29.22,2.74,33.51,24.09,139.0,129.36,0.65,0
PELONA MOUNTAIN,292009,XPEL,33.69375,-108.06161,7955,8/23/2026 15:38 MDT,8/23/2026 15:38 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,239,34.92,11.63,11.58,13.35,0.0,0.0,25.43,0.0,76.27,89.44,0.45,0
GILA CENTER RAWS,292011,XGIL,33.22375,-108.24031,5767,8/23/2026 16:00 MDT,8/23/2026 16:13 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,277,4.66,10.12,15.14,16.11,38.73,2.05,32.96,20.89,30.0,60.0,0.11,0
